COMMON NAME	LATITUDE	LONGITUDE	OBSERVATION DATE
Ringed Kingfisher	-40.97467	-71.0734	12/14/07
Ringed Kingfisher	-40.97467	-71.0734	12/6/07
Ringed Kingfisher	-40.82433	-71.26205	12/20/07
Ringed Kingfisher	-40.97467	-71.0734	12/9/07
Ringed Kingfisher	-40.82819	-71.26734	12/19/07
Ringed Kingfisher	-40.97467	-71.0734	12/2/07
Ringed Kingfisher	-40.79243	-71.21461	12/21/07
Ringed Kingfisher	-40.79021	-71.21119	12/21/07
Ringed Kingfisher	-40.97467	-71.0734	12/11/07
Ringed Kingfisher	-40.97467	-71.0734	12/15/07
Ringed Kingfisher	-40.97467	-71.0734	12/4/07
Ringed Kingfisher	-40.97467	-71.0734	11/8/08
Ringed Kingfisher	-40.97467	-71.0734	11/6/08
Ringed Kingfisher	-40.97467	-71.0734	11/25/08
Ringed Kingfisher	-40.97467	-71.0734	11/27/08
Ringed Kingfisher	-40.97467	-71.0734	11/19/08
Ringed Kingfisher	-40.97467	-71.0734	11/20/08
Ringed Kingfisher	-40.97467	-71.0734	11/7/08
Ringed Kingfisher	-40.97467	-71.0734	11/22/08
Ringed Kingfisher	-40.97467	-71.0734	11/26/08
Ringed Kingfisher	-40.97467	-71.0734	11/29/08
Ringed Kingfisher	-40.97467	-71.0734	12/6/08
Ringed Kingfisher	-40.97467	-71.0734	12/8/08
Ringed Kingfisher	-40.97467	-71.0734	12/13/08
Ringed Kingfisher	-40.97467	-71.0734	12/3/08
Ringed Kingfisher	-40.97467	-71.0734	12/7/08
Ringed Kingfisher	-40.97467	-71.0734	12/9/08
Ringed Kingfisher	-40.0266943	-71.0894394	12/31/10
Ringed Kingfisher	-40.3863049	-71.2570667	1/24/11
Ringed Kingfisher	-39.0977115	-70.9687185	1/9/11
Ringed Kingfisher	-40.1608371	-71.3602567	3/18/11
Ringed Kingfisher	-40.1608371	-71.3602567	3/18/11
Ringed Kingfisher	-39.7964031	-71.0027504	12/24/11
Ringed Kingfisher	-41.3778668	-71.7423818	1/13/99
Ringed Kingfisher	-41.2663766	-71.1685478	1/17/12
Ringed Kingfisher	-31.6672622	-60.5801582	9/6/08
Ringed Kingfisher	-31.6368678	-60.6452179	9/20/10
Ringed Kingfisher	-27.0130076	-65.6619059	8/9/74
Ringed Kingfisher	-42.7598805	-65.089935	6/12/94
Ringed Kingfisher	-42.7656349	-63.6380053	3/12/05
Ringed Kingfisher	-54.8373785	-68.5594082	11/6/94
