COMMON NAME	LATITUDE	LONGITUDE	OBSERVATION DATE
Common Kingfisher	25.42948	55.48628	8/16/08
Common Kingfisher	25.42948	55.48628	8/16/08
Common Kingfisher	25.42948	55.48628	11/14/08
Common Kingfisher	25.42948	55.48628	11/15/08
Common Kingfisher	25.42948	55.48628	11/15/08
Common Kingfisher	25.42948	55.48628	11/7/08
Common Kingfisher	25.42948	55.48628	11/7/08
Common Kingfisher	25.42948	55.48628	11/20/08
Common Kingfisher	25.42948	55.48628	11/14/08
Common Kingfisher	25.42948	55.48628	11/20/08
Common Kingfisher	25.42948	55.48628	10/6/09
Common Kingfisher	25.42948	55.48628	10/9/09
Common Kingfisher	25.42948	55.48628	8/21/10
Common Kingfisher	25.42948	55.48628	1/7/11
Common Kingfisher	25.42948	55.48628	11/5/11
Common Kingfisher	24.422072	54.406547	9/10/92
Common Kingfisher	24.294145	54.129971	9/25/92
Common Kingfisher	24.448316	54.41712	3/24/93
Common Kingfisher	24.448316	54.41712	12/20/93
Common Kingfisher	24.448316	54.41712	1/2/94
Common Kingfisher	24.325132	52.596656	4/8/94
Common Kingfisher	24.090765	52.652326	9/3/95
Common Kingfisher	24.448316	54.41712	1/19/96
Common Kingfisher	24.298432	53.289759	1/4/96
Common Kingfisher	24.448316	54.41712	1/4/96
Common Kingfisher	24.448316	54.41712	12/8/96
Common Kingfisher	24.448316	54.41712	1/25/97
Common Kingfisher	24.448316	54.41712	1/21/97
Common Kingfisher	24.448316	54.41712	11/5/97
Common Kingfisher	24.294145	54.129971	9/18/98
Common Kingfisher	24.448316	54.41712	12/20/98
Common Kingfisher	24.74243	54.691491	1/8/99
Common Kingfisher	24.448316	54.41712	11/29/05
Common Kingfisher	24.448316	54.41712	12/1/05
Common Kingfisher	24.448316	54.41712	12/10/05
Common Kingfisher	24.448316	54.41712	12/9/05
Common Kingfisher	24.448316	54.41712	4/8/06
Common Kingfisher	24.104571	55.75068	9/28/06
Common Kingfisher	24.104571	55.75068	9/22/06
Common Kingfisher	24.448316	54.41712	12/9/06
Common Kingfisher	24.448316	54.41712	1/20/07
Common Kingfisher	24.104571	55.75068	9/23/07
Common Kingfisher	24.104571	55.75068	9/15/07
Common Kingfisher	24.104571	55.75068	9/25/07
Common Kingfisher	24.0896647	55.6332207	10/31/07
Common Kingfisher	24.0896647	55.6332207	10/21/07
Common Kingfisher	24.0896647	55.6332207	10/19/07
Common Kingfisher	24.104571	55.75068	10/5/07
Common Kingfisher	24.0896647	55.6332207	11/10/07
Common Kingfisher	24.0896647	55.6332207	11/15/07
Common Kingfisher	24.0896647	55.6332207	11/28/07
Common Kingfisher	24.0896647	55.6332207	11/25/07
Common Kingfisher	24.0896647	55.6332207	12/7/07
Common Kingfisher	24.422072	54.406547	1/12/08
Common Kingfisher	24.448316	54.41712	1/26/08
Common Kingfisher	24.448316	54.41712	2/9/08
Common Kingfisher	24.448316	54.41712	2/19/08
Common Kingfisher	24.8620637	54.897995	3/11/08
Common Kingfisher	24.104571	55.75068	9/27/08
Common Kingfisher	24.104571	55.75068	9/11/08
Common Kingfisher	24.0896647	55.6332207	9/19/08
Common Kingfisher	24.443069	54.378881	9/11/08
Common Kingfisher	24.104571	55.75068	9/11/08
Common Kingfisher	24.0896647	55.6332207	9/30/08
Common Kingfisher	24.0896647	55.6332207	10/10/08
Common Kingfisher	24.0896647	55.6332207	10/14/08
Common Kingfisher	24.0896647	55.6332207	10/14/08
Common Kingfisher	24.0896647	55.6332207	11/1/08
Common Kingfisher	24.422072	54.406547	12/25/08
Common Kingfisher	24.448316	54.41712	12/3/08
Common Kingfisher	24.422072	54.406547	12/25/08
Common Kingfisher	24.0896647	55.6332207	1/4/09
Common Kingfisher	24.448316	54.41712	1/16/09
Common Kingfisher	24.104571	55.75068	1/31/09
Common Kingfisher	24.353636	54.472413	2/11/09
Common Kingfisher	24.0896647	55.6332207	2/6/09
Common Kingfisher	24.254379	54.607528	9/21/09
Common Kingfisher	24.448316	54.41712	11/26/09
Common Kingfisher	24.0972846	53.488698	2/5/10
Common Kingfisher	24.621922	54.821106	3/5/10
