#COMMON NAME,#LATITUDE,#LONGITUDE,#OBSERVATION DATE,#1=Adelie // 2=Chinstrap // 3=Magellanic
penguin,-63.9180583,-55.2612305,1/30/92,1
penguin,-63.5485522,-55.8984375,1/29/92,1
penguin,-62.1860139,-58.8977051,1/19/92,1
penguin,-64.5295482,-62.7539063,2/1/92,1
penguin,-65.2833,139.8,3/29/93,1
penguin,-65.6406,147.8348,4/28/93,1
penguin,-65.5867,147.6116,4/28/93,1
penguin,-65.5744,147.5936,4/28/93,1
penguin,-65.794,146.5196,4/28/93,1
penguin,-65.7892,146.5271,4/29/93,1
penguin,-65.7822,146.5334,4/29/93,1
penguin,-65.763,146.5245,4/29/93,1
penguin,-65.7538,146.511,4/29/93,1
penguin,-65.746,146.4951,4/29/93,1
penguin,-65.773,146.423,4/30/93,1
penguin,-65.7885,146.4439,4/30/93,1
penguin,-65.7772,146.4237,4/30/93,1
penguin,-65.7813,146.4252,4/30/93,1
penguin,-65.8006,146.4233,4/30/93,1
penguin,-65.8262,146.4234,4/30/93,1
penguin,-65.8478,146.4414,4/30/93,1
penguin,-65.9119,146.2755,4/30/93,1
penguin,-65.1606,149.0503,4/26/93,1
penguin,-65.0992,149.1034,4/27/93,1
penguin,-65.9136,146.2731,5/1/93,1
penguin,-65.9146,146.2593,5/1/93,1
penguin,-65.9145,146.2461,5/1/93,1
penguin,-65.8821,146.2365,5/1/93,1
penguin,-65.7225,146.2297,5/1/93,1
penguin,-64.9326,146.4164,5/2/93,1
penguin,-64.9563,146.3931,5/2/93,1
penguin,-65.1555,145.7637,5/2/93,1
penguin,-65.0920916,-63.9701271,1/3/94,1
penguin,-65.166667,-64.166667,2/28/95,1
penguin,-63.395827,-57.0066833,12/9/95,1
penguin,-65.3982296,-61.5234395,1/1/96,1
penguin,-62.6552081,-60.6139832,1/13/97,1
penguin,-65.0920916,-63.9701271,1/12/97,1
penguin,-64.6833333,-62.6333333,2/18/97,1
penguin,-77.2165881,166.4376556,12/15/97,1
penguin,-77.2165881,166.4376556,12/20/97,1
penguin,-77.5539733,166.2281003,12/13/97,1
penguin,-79.1050862,-171.0351563,1/6/98,1
penguin,-77.2165881,166.4376556,1/10/98,1
penguin,-63.4210307,-57.9418945,1/31/98,1
penguin,-63.1345032,-56.0742188,1/30/98,1
penguin,-63.6706335,-59.0734863,2/1/98,1
penguin,-77.4611758,169.2832041,12/13/98,1
penguin,-77.4611758,169.2832041,12/14/98,1
penguin,-77.4611758,169.2832041,12/17/98,1
penguin,-77.4611758,169.2832041,12/18/98,1
penguin,-77.4611758,169.2832041,12/20/98,1
penguin,-77.4611758,169.2832041,12/19/98,1
penguin,-77.4611758,169.2832041,12/21/98,1
penguin,-77.4611758,169.2832041,12/22/98,1
penguin,-77.4611758,169.2832041,12/23/98,1
penguin,-77.4611758,169.2832041,12/24/98,1
penguin,-77.4611758,169.2832041,12/25/98,1
penguin,-77.4611758,169.2832041,12/26/98,1
penguin,-77.4611758,169.2832041,12/27/98,1
penguin,-77.4611758,169.2832041,12/28/98,1
penguin,-77.4611758,169.2832041,12/29/98,1
penguin,-77.4611758,169.2832041,12/30/98,1
penguin,-77.4611758,169.2832041,12/31/98,1
penguin,-77.4611758,169.2832041,1/1/99,1
penguin,-77.4611758,169.2832041,1/2/99,1
penguin,-77.4611758,169.2832041,1/4/99,1
penguin,-77.4611758,169.2832041,1/6/99,1
penguin,-77.4611758,169.2832041,1/8/99,1
penguin,-77.4611758,169.2832041,1/9/99,1
penguin,-77.4611758,169.2832041,1/10/99,1
penguin,-77.4611758,169.2832041,1/20/99,1
penguin,-77.5539733,166.2281003,12/10/99,1
penguin,-77.4611758,169.2832041,12/13/99,1
penguin,-76.9576726,166.9571541,1/28/00,1
penguin,-77.4611758,169.2832041,1/4/00,1
penguin,-77.879,166.729,1/28/00,1
penguin,-64.8184173,-63.480116,2/28/00,1
penguin,-63.5191747,-56.8700409,3/1/00,1
penguin,-63.57381,-55.78613,3/1/00,1
penguin,-72.446113,167.378695,1/1/01,1
penguin,-62.9627151,-60.6280518,12/14/01,1
