#COMMON NAME,LATITUDE,LONGITUDE,OBSERVATION DATE,SERIAL DATE,1=Adelie // 2=Chinstrap // 3=Magellanic
penguin,-63.5,-53.4,1/20/09,20,1
penguin,-63.5,-56.9,1/21/09,21,1
penguin,-64.3,-56.8,1/20/09,20,1
penguin,-63.6,-55.8,1/20/09,20,1
penguin,-63.5,-56.9,1/21/09,21,1
penguin,-64.3,-56.8,1/20/09,20,1
penguin,-63.6,-55.8,1/20/09,20,1
penguin,-63.6,-55.8,1/20/09,20,1
penguin,-64.3,-56.8,1/20/09,20,1
penguin,-63.5,-56.9,1/21/09,21,1
penguin,-63.5,-56.9,1/21/09,21,1
penguin,-64.3,-56.8,1/20/09,20,1
penguin,-63.6,-55.8,1/20/09,20,1
penguin,-65.4,-63.1,11/15/09,320,1
penguin,-62.2,-58.9,12/30/09,365,1
penguin,-63.2,-56.7,12/24/09,359,1
penguin,-65.2,-64.1,1/19/10,19,1
penguin,-63.5,-56.8,1/23/10,23,1
penguin,-63.8,-57.2,1/23/10,23,1
penguin,-63.8,-57.2,1/23/10,23,1
penguin,-63.5,-56.8,1/23/10,23,1
penguin,-64.3,-56.8,1/22/10,22,1
penguin,-64.6,-62.5,1/24/10,24,1
penguin,-64.8,-64.1,1/25/10,25,1
penguin,-63.9,-56.7,1/20/10,20,1
penguin,-63.9,-56.7,1/20/10,20,1
penguin,-77.8,166.6,1/11/10,11,1
penguin,-64.6,-62.5,1/24/10,24,1
penguin,-64.8,-64.1,1/25/10,25,1
penguin,-64.8,-64.1,1/25/10,25,1
penguin,-63.8,-57.2,1/23/10,23,1
penguin,-63.5,-56.8,1/23/10,23,1
penguin,-64.6,-62.5,1/24/10,24,1
penguin,-63.6,-55.8,1/19/10,19,1
penguin,-62.6,-59.5,1/21/10,21,1
penguin,-63.7,-57.2,1/19/10,19,1
penguin,-63.7,-57.4,1/19/10,19,1
penguin,-62.3,-52.3,1/18/10,18,1
penguin,-63.9,-56.7,1/19/10,19,1
penguin,-62.3,-52.3,1/18/10,18,1
penguin,-63.7,-57.2,1/19/10,19,1
penguin,-62.6,-59.5,1/21/10,21,1
penguin,-63.7,-57.4,1/19/10,19,1
penguin,-62.6,-59.5,1/21/10,21,1
penguin,-63.7,-57.2,1/19/10,19,1
penguin,-63.7,-57.4,1/19/10,19,1
penguin,-62.3,-52.3,1/18/10,18,1
penguin,-62.1,-57.9,1/22/10,22,1
penguin,-62.1,-57.9,1/22/10,22,1
penguin,-63.6,-55.8,1/19/10,19,1
penguin,-63.5,-56.9,1/23/10,23,1
penguin,-63.5,-56.9,1/23/10,23,1
penguin,-64.3,-56.8,1/23/10,23,1
penguin,-63.4,-57.0,1/20/10,20,1
penguin,-63.5,-56.9,1/23/10,23,1
penguin,-63.4,-57.0,1/20/10,20,1
penguin,-63.6,-55.8,1/19/10,19,1
penguin,-63.6,-55.8,1/19/10,19,1
penguin,-63.4,-57.0,1/20/10,20,1
penguin,-64.3,-56.8,1/23/10,23,1
penguin,-64.3,-56.8,1/23/10,23,1
penguin,-77.8,166.6,2/11/10,41,1
penguin,-77.8,166.7,2/12/10,42,1
penguin,-63.2,-56.9,12/29/10,364,1
penguin,-65.1,-64.0,12/11/10,346,1
penguin,-62.5,-58.2,1/15/11,15,1
penguin,-77.8,166.7,1/18/11,18,1
penguin,-74.1,176.7,1/27/11,27,1
penguin,-77.6,166.0,1/19/11,19,1
penguin,-71.5,172.3,1/25/11,25,1
penguin,-73.0,173.0,1/24/11,24,1
penguin,-61.2,-45.6,1/13/11,13,1
penguin,-63.3,-57.2,1/20/11,20,1
penguin,-77.8,166.6,1/10/11,10,1
penguin,-77.8,166.7,2/19/11,49,1
penguin,-72.8,174.0,2/8/11,38,1
penguin,-77.3,170.2,2/21/11,51,1
penguin,-77.6,166.2,2/25/11,55,1
penguin,-77.6,166.4,2/25/11,55,1
penguin,-77.2,166.4,2/26/11,56,1
penguin,-77.8,166.6,2/27/11,57,1
penguin,-63.6,-55.8,2/8/11,38,1
penguin,-75.0,-47.3,11/14/11,319,1
penguin,-64.2,-61.2,11/17/11,322,1
penguin,-64.6,-63.5,11/16/11,321,1
penguin,-77.8,166.7,1/2/12,2,1
penguin,-66.0,-65.5,1/22/12,22,1
penguin,-77.8,166.7,1/3/12,3,1
penguin,-77.8,166.7,1/3/12,3,1
penguin,-63.6,-55.8,1/22/12,22,1
penguin,-65.1,-64.1,3/25/12,86,1
penguin,-51.7,-57.8,1/16/08,16,1
penguin,-42.4,173.7,12/30/92,365,1
penguin,-75.6,-178.2,1/22/11,22,1
penguin,-62.6,-59.9,1/31/92,31,2
penguin,-63.5,-55.9,1/29/92,29,2
penguin,-62.2,-58.9,1/19/92,19,2
penguin,-64.5,-62.8,2/1/92,31,2
penguin,-64.9,-63.4,2/2/92,32,2
penguin,-62.1,-58.1,2/3/92,33,2
penguin,-65.1,-64.0,1/3/94,3,2
penguin,-62.9,-60.6,2/28/95,58,2
penguin,-61.1,-54.7,12/8/95,343,2
penguin,-65.4,-61.5,1/1/96,1,2
penguin,-62.6,-60.5,1/27/96,27,2
penguin,-62.5,-61.6,1/28/96,28,2
penguin,-63.0,-60.6,1/16/96,16,2
penguin,-63.3,-60.3,1/17/96,17,2
penguin,-62.7,-60.6,1/13/97,13,2
penguin,-63.0,-60.5,1/10/97,10,2
penguin,-64.7,-62.6,1/11/97,11,2
penguin,-62.6,-59.9,1/13/97,13,2
penguin,-64.8,-63.5,1/11/97,11,2
penguin,-59.8,-60.8,2/16/97,46,2
penguin,-63.4,-57.9,1/31/98,31,2
penguin,-63.1,-56.1,1/30/98,30,2
penguin,-63.7,-59.1,2/1/98,31,2
penguin,-64.8,-63.5,2/28/00,58,2
penguin,-64.8,-62.6,2/29/00,59,2
penguin,-63.5,-56.9,3/1/00,62,2
penguin,-63.0,-60.6,12/14/01,349,2
penguin,-60.9,-55.2,1/28/03,28,2
penguin,-64.1,-59.7,1/29/03,29,2
penguin,-64.1,-59.7,1/30/03,30,2
penguin,-64.1,-59.7,1/31/03,31,2
penguin,-62.6,-59.9,11/15/04,320,2
penguin,-70.3,-70.9,11/20/04,325,2
penguin,-64.7,-62.6,12/26/04,361,2
penguin,-77.5,169.2,1/21/05,21,2
penguin,-59.5,-50.2,2/16/05,46,2
penguin,-63.4,-57.0,2/17/05,47,2
penguin,-64.5,-62.0,2/18/05,48,2
penguin,-63.4,-57.0,3/14/05,75,2
penguin,-61.5,-50.6,3/16/05,77,2
penguin,-62.4,-59.8,3/13/05,74,2
penguin,-64.6,-63.5,12/22/05,357,2
penguin,-62.6,-60.6,12/31/05,366,2
penguin,-64.7,-62.2,12/4/05,339,2
penguin,-64.7,-62.6,12/5/05,340,2
penguin,-62.3,-59.8,12/3/05,338,2
penguin,-62.5,-59.8,12/3/05,338,2
penguin,-61.0,-54.7,1/18/06,18,2
penguin,-62.1,-57.9,1/20/06,20,2
penguin,-62.6,-59.9,2/20/06,50,2
penguin,-64.8,-63.5,2/21/06,51,2
penguin,-63.0,-60.5,12/29/06,364,2
penguin,-62.4,-59.6,12/29/06,364,2
penguin,-64.9,-62.9,1/20/07,20,2
penguin,-64.7,-62.6,1/6/07,6,2
penguin,-62.6,-59.9,1/4/07,4,2
penguin,-63.0,-60.5,1/5/07,5,2
penguin,-61.1,-55.1,1/19/07,19,2
penguin,-62.5,-59.8,1/20/07,20,2
penguin,-64.5,-62.0,1/21/07,21,2
penguin,-64.8,-62.9,1/22/07,22,2
penguin,-65.1,-64.0,1/19/07,19,2
penguin,-64.7,-62.6,1/20/07,20,2
penguin,-63.0,-60.5,1/21/07,21,2
penguin,-62.7,-60.6,1/21/07,21,2
penguin,-62.6,-59.9,2/2/07,32,2
penguin,-62.3,-59.8,11/12/07,317,2
penguin,-62.5,-60.4,12/22/07,357,2
penguin,-62.9,-59.1,12/26/07,361,2
penguin,-61.9,-54.8,1/15/08,15,2
penguin,-61.0,-58.3,1/15/08,15,2
penguin,-63.0,-60.5,1/18/08,18,2
penguin,-65.2,-64.2,2/8/08,38,2
penguin,-64.3,-62.8,2/9/08,39,2
penguin,-62.4,-59.7,2/6/08,36,2
penguin,-61.1,-54.8,2/18/08,48,2
penguin,-62.4,-59.8,11/12/08,317,2
penguin,-62.6,-59.9,11/22/08,327,2
penguin,-62.3,-59.8,11/26/08,331,2
penguin,-64.9,-62.9,11/24/08,329,2
penguin,-64.8,-62.6,11/27/08,332,2
penguin,-62.2,-58.9,12/29/08,364,2
penguin,-60.8,-44.4,1/18/09,18,2
penguin,-60.8,-44.7,1/18/09,18,2
penguin,-62.6,-59.9,1/22/09,22,2
penguin,-60.8,-44.7,1/18/09,18,2
penguin,-63.6,-55.8,1/20/09,20,2
penguin,-62.8,-51.5,1/19/09,19,2
penguin,-61.8,-48.3,1/19/09,19,2
penguin,-62.0,-49.0,1/19/09,19,2
penguin,-63.6,-55.8,1/20/09,20,2
penguin,-62.6,-51.2,1/19/09,19,2
penguin,-62.5,-51.0,1/19/09,19,2
penguin,-62.2,-49.6,1/19/09,19,2
penguin,-62.2,-49.6,1/19/09,19,2
penguin,-62.5,-51.0,1/19/09,19,2
penguin,-62.8,-51.5,1/19/09,19,2
penguin,-62.6,-51.2,1/19/09,19,2
penguin,-62.0,-49.0,1/19/09,19,2
penguin,-62.6,-51.2,1/19/09,19,2
penguin,-62.5,-51.0,1/19/09,19,2
penguin,-61.8,-48.3,1/19/09,19,2
penguin,-62.8,-51.5,1/19/09,19,2
penguin,-62.2,-49.6,1/19/09,19,2
penguin,-60.8,-44.7,1/18/09,18,2
penguin,-62.0,-49.0,1/19/09,19,2
penguin,-61.8,-48.3,1/19/09,19,2
penguin,-60.8,-44.7,1/18/09,18,2
penguin,-60.8,-44.4,1/18/09,18,2
penguin,-63.6,-55.8,1/20/09,20,2
penguin,-60.8,-44.7,1/18/09,18,2
penguin,-60.7,-44.0,1/18/09,18,2
penguin,-60.4,-43.6,1/18/09,18,2
penguin,-60.8,-44.7,1/18/09,18,2
penguin,-60.8,-44.4,1/18/09,18,2
penguin,-62.6,-59.9,1/22/09,22,2
penguin,-60.7,-44.0,1/18/09,18,2
penguin,-60.4,-43.6,1/18/09,18,2
penguin,-62.6,-59.9,1/22/09,22,2
penguin,-60.4,-43.6,1/18/09,18,2
penguin,-60.7,-44.0,1/18/09,18,2
penguin,-60.4,-43.6,1/18/09,18,2
penguin,-62.6,-59.9,1/22/09,22,2
penguin,-60.7,-44.0,1/18/09,18,2
penguin,-60.8,-44.4,1/18/09,18,2
penguin,-60.8,-44.7,1/18/09,18,2
penguin,-60.8,-44.7,1/18/09,18,2
penguin,-61.8,-48.3,1/19/09,19,2
penguin,-62.0,-49.0,1/19/09,19,2
penguin,-62.5,-51.0,1/19/09,19,2
penguin,-63.6,-55.8,1/20/09,20,2
penguin,-62.2,-49.6,1/19/09,19,2
penguin,-62.6,-51.2,1/19/09,19,2
penguin,-62.8,-51.5,1/19/09,19,2
penguin,-62.4,-59.7,2/13/09,43,2
penguin,-62.1,-57.9,2/13/09,43,2
penguin,-62.7,-60.6,2/16/09,46,2
penguin,-64.7,-62.6,2/15/09,45,2
penguin,-64.8,-63.5,2/15/09,45,2
penguin,-65.4,-63.1,11/15/09,320,2
penguin,-62.2,-58.9,12/30/09,365,2
penguin,-62.6,-59.9,12/28/09,363,2
penguin,-65.1,-64.0,1/26/10,26,2
penguin,-65.1,-64.0,1/26/10,26,2
penguin,-62.0,-57.3,1/22/10,22,2
penguin,-64.3,-56.8,1/22/10,22,2
penguin,-64.7,-62.6,1/24/10,24,2
penguin,-62.6,-59.9,1/21/10,21,2
penguin,-63.0,-60.6,1/21/10,21,2
penguin,-64.7,-62.6,1/24/10,24,2
penguin,-64.7,-62.6,1/24/10,24,2
penguin,-63.6,-55.8,1/19/10,19,2
penguin,-59.6,-47.4,1/17/10,17,2
penguin,-62.6,-59.5,1/21/10,21,2
penguin,-62.6,-59.5,1/21/10,21,2
penguin,-59.6,-47.4,1/17/10,17,2
penguin,-62.6,-59.5,1/21/10,21,2
penguin,-63.0,-60.6,1/21/10,21,2
penguin,-62.6,-59.9,1/21/10,21,2
penguin,-59.6,-47.4,1/17/10,17,2
penguin,-62.6,-59.9,1/21/10,21,2
penguin,-63.0,-60.6,1/21/10,21,2
penguin,-62.0,-57.3,1/22/10,22,2
penguin,-62.1,-57.9,1/22/10,22,2
penguin,-62.0,-57.3,1/22/10,22,2
penguin,-62.1,-57.9,1/22/10,22,2
penguin,-61.0,-54.7,12/28/10,363,2
penguin,-63.2,-56.9,12/29/10,364,2
penguin,-64.8,-63.5,12/30/10,365,2
penguin,-63.0,-60.5,12/31/10,366,2
penguin,-65.1,-64.0,12/11/10,346,2
penguin,-63.0,-60.4,1/17/11,17,2
penguin,-62.5,-58.2,1/15/11,15,2
penguin,-61.0,-54.9,1/14/11,14,2
penguin,-61.2,-45.6,1/13/11,13,2
penguin,-63.3,-57.2,1/20/11,20,2
penguin,-61.1,-54.7,2/7/11,37,2
penguin,-62.6,-59.9,11/15/11,320,2
penguin,-62.4,-59.8,1/19/12,19,2
penguin,-62.4,-59.7,1/19/12,19,2
penguin,-63.0,-60.6,1/23/12,23,2
penguin,-59.8,-60.8,1/21/12,21,2
penguin,-62.3,-59.8,3/23/12,84,2
penguin,-60.0,-62.5,3/27/12,88,2
penguin,-51.7,-57.8,1/16/08,16,2
penguin,-54.5,-36.7,1/24/98,24,2
penguin,-54.5,-36.7,1/25/98,25,2
penguin,-54.5,-36.7,1/26/98,26,2
penguin,-54.6,-35.9,3/5/00,66,2
penguin,-54.3,-36.5,3/6/00,67,2
penguin,-54.6,-35.9,1/25/03,25,2
penguin,-53.9,-37.9,1/23/03,23,2
penguin,-54.3,-36.5,1/24/03,24,2
penguin,-54.2,-36.4,3/21/05,82,2
penguin,-54.2,-36.4,3/19/05,80,2
penguin,-54.0,-38.0,11/27/05,332,2
penguin,-54.4,-36.2,1/16/06,16,2
penguin,-54.0,-38.0,2/13/06,43,2
penguin,-54.4,-36.1,1/16/07,16,2
penguin,-54.8,-35.8,1/16/09,16,2
penguin,-54.8,-35.8,1/16/09,16,2
penguin,-54.8,-35.8,1/16/09,16,2
penguin,-54.8,-35.8,1/16/09,16,2
penguin,-54.1,-37.3,1/14/10,14,2
penguin,-54.1,-37.3,1/14/10,14,2
penguin,-54.1,-37.3,1/14/10,14,2
penguin,-54.0,-38.0,1/12/10,12,2
penguin,-53.3,-45.7,1/12/10,12,2
penguin,-54.1,-37.3,1/14/10,14,2
penguin,-54.0,-38.0,1/12/10,12,2
penguin,-54.0,-38.0,1/12/10,12,2
penguin,-54.8,-36.0,11/10/11,315,2
penguin,-54.2,-36.9,3/29/12,90,2
penguin,-45.7,170.6,11/27/92,332,2
penguin,-57.3,-42.1,1/26/03,26,2
penguin,-57.3,-42.1,1/27/03,27,2
penguin,-57.6,-40.5,3/18/05,79,2
penguin,-38.2,-57.3,2/26/05,56,3
penguin,-42.3,-64.0,5/27/74,149,3
penguin,-42.3,-64.0,5/25/74,147,3
penguin,-42.3,-64.0,5/26/74,148,3
penguin,-42.5,-65.3,4/12/86,103,3
penguin,-44.0,-65.2,11/12/92,317,3
penguin,-45.0,-65.9,12/5/92,340,3
penguin,-44.0,-65.2,1/12/93,12,3
penguin,-42.1,-63.8,1/13/93,13,3
penguin,-45.0,-65.9,11/23/93,328,3
penguin,-44.0,-65.2,2/22/94,52,3
penguin,-44.0,-65.2,11/5/94,310,3
penguin,-42.5,-64.1,11/3/94,308,3
penguin,-44.0,-65.2,11/13/98,318,3
penguin,-44.0,-65.2,11/25/98,330,3
penguin,-42.5,-64.1,11/15/99,320,3
penguin,-42.8,-63.6,12/5/99,340,3
penguin,-44.0,-65.2,11/22/02,327,3
penguin,-44.0,-65.2,12/1/02,336,3
penguin,-42.5,-64.1,2/5/03,35,3
penguin,-42.5,-64.1,9/7/04,251,3
penguin,-42.4,-64.5,10/23/04,297,3
penguin,-42.5,-63.9,2/16/05,46,3
penguin,-45.1,-66.5,3/14/05,75,3
penguin,-42.5,-64.1,3/19/05,80,3
penguin,-42.4,-63.6,11/1/05,306,3
penguin,-44.0,-65.2,11/2/05,307,3
penguin,-42.5,-64.1,12/27/05,362,3
penguin,-42.5,-64.1,12/28/05,363,3
penguin,-42.5,-64.1,12/27/05,362,3
penguin,-44.0,-65.2,11/21/06,326,3
penguin,-42.4,-63.6,11/5/06,310,3
penguin,-44.0,-65.2,1/16/08,16,3
penguin,-42.1,-63.8,2/13/08,43,3
penguin,-42.3,-63.7,9/30/08,274,3
