COMMON NAME	LATITUDE	LONGITUDE	OBSERVATION DATE	SERIAL DATE
galah	-35.3	149.2	11/15/10	320
galah	-35.5	149.1	4/11/11	102
galah	-35.2	149.1	4/19/11	110
galah	-35.3	149.1	4/11/11	102
galah	-35.3	149.1	7/4/11	187
galah	-35.3	149.1	7/13/11	196
galah	-35.3	149.1	7/13/11	196
galah	-35.2	149.2	9/3/11	247
galah	-35.3	149.2	12/1/11	336
galah	-35.3	149.2	12/1/11	336
galah	-35.3	149.2	12/2/11	337
galah	-35.3	149.1	12/24/11	359
galah	-35.5	148.9	1/17/12	17
galah	-35.3	149.1	1/25/12	25
galah	-35.3	149.2	1/8/12	8
galah	-35.2	149	1/7/12	7
galah	-35.5	149	1/9/12	9
galah	-35.3	149.2	1/27/12	27
galah	-35.2	149.1	1/11/12	11
galah	-35.4	149.1	1/12/12	12
galah	-35.3	148.9	1/25/12	25
galah	-35.3	149	1/8/12	8
galah	-35.3	149.2	1/27/12	27
galah	-35.3	149.2	1/12/12	12
galah	-35.6	149	1/4/12	4
galah	-35.3	149	1/11/12	11
galah	-35.3	149.2	1/6/12	6
galah	-35.4	149.1	1/15/12	15
galah	-35.2	149	1/26/12	26
galah	-35.5	149	1/4/12	4
galah	-35.5	149.1	1/14/12	14
galah	-35.3	149.2	1/20/12	20
galah	-35.3	149.2	1/27/12	27
galah	-35.2	149.2	1/13/12	13
galah	-35.5	149.1	1/4/12	4
galah	-35.3	149.2	1/5/12	5
galah	-35.3	149.2	1/15/12	15
galah	-35.3	149.2	1/15/12	15
galah	-35.3	148.9	1/25/12	25
galah	-35.3	149.2	1/1/12	1
galah	-35.3	149.2	1/3/12	3
galah	-35.2	149	1/6/12	6
galah	-35.3	149.1	1/29/12	29
galah	-35.3	149.2	1/21/12	21
galah	-35.3	149	1/25/12	25
galah	-35.3	149.2	1/1/12	1
galah	-35.5	149.1	1/4/12	4
galah	-35.3	149.1	1/7/12	7
galah	-35.3	149.2	1/3/12	3
galah	-35.3	149.2	1/29/12	29
galah	-35.3	149.1	1/18/12	18
galah	-35.4	149.1	2/10/12	40
galah	-35.2	149.1	2/26/12	56
galah	-35.3	149.2	2/17/12	47
galah	-35.3	149.2	2/18/12	48
galah	-35.3	149.2	2/18/12	48
galah	-35.3	149	2/19/12	49
galah	-35.3	149.2	2/4/12	34
galah	-35.3	149.2	2/4/12	34
galah	-35.3	149	2/18/12	48
galah	-35.3	148.9	2/19/12	49
galah	-35.3	149.2	2/4/12	34
galah	-35.3	149.1	2/8/12	38
galah	-35.3	149.2	2/5/12	35
galah	-35.3	148.9	2/12/12	42
galah	-35.3	149.1	2/15/12	45
galah	-35.3	149.2	2/11/12	41
galah	-35.3	149.2	3/14/12	75
galah	-35.3	149.1	3/16/12	77
galah	-35.3	149.1	3/15/12	76
galah	-35.3	149.1	3/15/12	76
galah	-35.3	149.1	3/15/12	76
galah	-35.3	149.2	3/13/12	74
galah	-35.3	149.2	3/11/12	72
galah	-35.3	149.2	3/4/12	65
galah	-35.3	149.2	3/17/12	78
galah	-35.3	149.2	3/11/12	72
galah	-35.4	149.1	3/12/12	73
galah	-35.4	149.1	4/21/12	112
galah	-35.3	149.2	4/29/12	120
galah	-35.3	149.2	4/7/12	98
galah	-35.3	149.2	4/9/12	100
galah	-35.3	149.1	4/5/12	96
galah	-35.3	149.2	4/15/12	106
galah	-35.3	149.2	4/7/12	98
galah	-35.3	149.2	4/22/12	113
galah	-35.3	149.2	4/28/12	119
galah	-35.3	149.2	4/25/12	116
galah	-35.3	149.2	4/25/12	116
galah	-35.3	149.2	4/28/12	119
galah	-35.3	149.2	4/28/12	119
galah	-35.3	149.2	4/29/12	120
galah	-35.5	149.1	5/6/12	128
galah	-35.5	149.1	5/6/12	128
galah	-35.3	149.1	5/14/12	136
galah	-35.3	149.2	5/27/12	149
galah	-35.3	149.2	5/12/12	134
galah	-35.3	149.2	5/18/12	140
galah	-35.3	149.2	5/27/12	149
galah	-35.3	149.2	5/12/12	134
galah	-35.3	149.2	6/15/12	167
galah	-35.3	149.2	6/24/12	176
galah	-35.3	149	6/2/12	154
galah	-35.3	149.2	6/3/12	155
galah	-35.3	149.2	6/8/12	160
galah	-35.3	149.2	6/15/12	167
galah	-35.5	149.1	6/3/12	155
galah	-35.3	149.1	6/30/12	182
galah	-35.3	149.2	6/8/12	160
galah	-35.3	149.2	6/3/12	155
galah	-35.3	149.2	7/5/12	188
galah	-35.3	149.2	7/27/12	210
galah	-35.3	149.2	7/13/12	196
galah	-35.3	149.1	7/1/12	184
galah	-35.3	149.2	7/13/12	196
galah	-35.3	149.2	7/8/12	191
galah	-35.3	149.2	7/2/12	185
galah	-35.3	149.2	7/15/12	198
galah	-35.4	149.1	7/12/12	195
