COMMON NAME	LATITUDE	LONGITUDE	OBSERVATION DATE	SERIAL DATE
sandpiper	24.4	54.4	10/3/06	277
sandpiper	24.5	55.8	10/3/06	277
sandpiper	24.3	54.6	11/17/06	322
sandpiper	24.1	55.7	11/29/06	334
sandpiper	24.1	55.6	11/3/06	308
sandpiper	24.1	55.7	11/29/06	334
sandpiper	24.3	54.6	11/25/06	330
sandpiper	24.2	55.7	11/29/06	334
sandpiper	24.1	55.7	11/24/06	329
sandpiper	24.3	54.6	11/17/06	322
sandpiper	24.3	54.6	11/17/06	322
sandpiper	24.1	55.7	12/21/06	356
sandpiper	24.3	54.6	12/28/06	363
sandpiper	24.3	54.6	12/9/06	344
sandpiper	24.1	55.7	12/5/06	340
sandpiper	24.1	55.7	12/8/06	343
sandpiper	24.1	55.7	12/15/06	350
sandpiper	24.1	55.7	12/21/06	356
sandpiper	24.3	54.6	12/4/06	339
sandpiper	24.3	54.6	12/28/06	363
sandpiper	24.3	54.6	1/20/07	20
sandpiper	24.3	54.6	1/18/07	18
sandpiper	24.3	54.6	1/15/07	15
sandpiper	24.3	54.6	1/12/07	12
sandpiper	24.1	55.7	1/5/07	5
sandpiper	24.2	55.7	1/5/07	5
sandpiper	24.1	55.7	2/19/07	49
sandpiper	24.3	54.6	3/28/07	89
sandpiper	24.3	54.6	3/9/07	70
sandpiper	24.1	55.7	3/12/07	73
sandpiper	24.2	55.7	3/23/07	84
sandpiper	24.3	54.6	4/10/07	101
sandpiper	24.3	54.6	4/25/07	116
sandpiper	24.3	54.6	4/13/07	104
sandpiper	24.3	54.6	4/18/07	109
sandpiper	24.3	54.6	4/20/07	111
sandpiper	24.3	54.6	4/25/07	116
sandpiper	24.3	54.6	4/21/07	112
sandpiper	24.1	55.7	4/13/07	104
sandpiper	24.3	54.6	5/19/07	141
sandpiper	24.2	55.7	5/11/07	133
sandpiper	24.3	54.6	5/10/07	132
sandpiper	24.3	54.6	5/10/07	132
sandpiper	24.3	54.6	5/7/07	129
sandpiper	24.1	55.7	5/4/07	126
sandpiper	24.2	55.7	5/4/07	126
sandpiper	24.3	54.6	5/1/07	123
sandpiper	24.3	54.6	5/1/07	123
sandpiper	24.2	55.7	8/29/07	242
sandpiper	24.3	54.6	9/20/07	264
sandpiper	24.1	55.7	9/29/07	273
sandpiper	24.1	55.7	9/22/07	266
sandpiper	24.3	54.6	9/6/07	250
sandpiper	24.2	54.7	9/1/07	245
sandpiper	24.3	54.6	9/1/07	245
sandpiper	24.3	54.6	9/13/07	257
sandpiper	24.3	54.6	9/27/07	271
sandpiper	24.3	54.6	9/29/07	273
sandpiper	24.3	54.6	9/27/07	271
sandpiper	24.1	55.6	9/29/07	273
sandpiper	24.3	54.6	9/25/07	269
sandpiper	24.1	55.7	9/28/07	272
sandpiper	24.1	55.7	10/8/07	282
sandpiper	24.5	55.8	10/18/07	292
sandpiper	24.3	54.6	10/25/07	299
sandpiper	24.3	54.6	10/10/07	284
sandpiper	24.3	54.6	10/7/07	281
sandpiper	24.4	54.4	10/26/07	300
sandpiper	24.4	54.4	10/27/07	301
sandpiper	24.5	55.8	10/18/07	292
sandpiper	24.3	54.6	10/14/07	288
sandpiper	24.3	54.6	10/3/07	277
sandpiper	24.1	55.7	10/21/07	295
sandpiper	24.3	54.6	10/20/07	294
sandpiper	24.3	54.6	10/6/07	280
sandpiper	24.1	55.7	10/19/07	293
sandpiper	24.4	54.4	10/12/07	286
sandpiper	24.1	55.6	10/19/07	293
sandpiper	24.3	54.6	10/12/07	286
sandpiper	24.1	55.7	10/8/07	282
sandpiper	24.4	54.4	10/24/07	298
sandpiper	24.1	55.7	10/22/07	296
sandpiper	24.3	54.6	10/5/07	279
sandpiper	24.1	55.7	10/23/07	297
sandpiper	24.3	54.6	11/5/07	310
sandpiper	24.3	54.6	11/1/07	306
sandpiper	24.1	55.7	11/2/07	307
sandpiper	24.1	55.7	11/9/07	314
sandpiper	24.3	54.6	11/14/07	319
sandpiper	24.1	55.7	11/10/07	315
sandpiper	24.1	55.7	11/9/07	314
sandpiper	24.3	54.6	11/24/07	329
sandpiper	24.3	54.6	11/26/07	331
sandpiper	24.1	55.7	11/28/07	333
sandpiper	24.1	55.7	12/2/07	337
sandpiper	24.1	55.7	12/25/07	360
sandpiper	24.1	55.7	12/9/07	344
sandpiper	24.3	54.6	12/7/07	342
sandpiper	24.3	54.6	12/31/07	366
sandpiper	24.1	55.7	12/22/07	357
sandpiper	24.1	55.7	12/8/07	343
sandpiper	24.1	55.7	12/20/07	355
sandpiper	24.1	55.7	12/9/07	344
sandpiper	24.3	54.6	12/12/07	347
sandpiper	24.1	55.6	12/9/07	344
sandpiper	24.1	55.7	12/7/07	342
sandpiper	24.1	55.7	12/25/07	360
sandpiper	24.3	54.6	12/8/07	343
sandpiper	24.1	55.7	12/26/07	361
sandpiper	24.1	55.7	12/7/07	342
sandpiper	24.3	54.6	12/3/07	338
sandpiper	24.1	55.7	12/1/07	336
sandpiper	24.1	55.6	12/7/07	342
sandpiper	24.1	55.7	12/3/07	338
sandpiper	24.1	55.6	12/18/07	353
sandpiper	24.1	55.7	12/18/07	353
sandpiper	24.3	54.6	12/6/07	341
sandpiper	24.1	55.7	12/2/07	337
sandpiper	24.3	54.6	12/15/07	350
sandpiper	24.3	54.6	12/18/07	353
