#COMMON NAME,#LATITUDE,#LONGITUDE,#OBSERVATION DATE,#DAY SERIAL NUMBER
penguin,-62.5427274,-60.4467773,12/22/07,357
penguin,-61.2702328,-50.625,1/16/08,16
penguin,-61.85,-58.467,1/16/08,16
penguin,-65.1666667,-64.1666667,2/8/08,38
penguin,-65.2333333,-64.15,2/8/08,38
penguin,-65.1784185,-64.1519165,11/24/08,329
penguin,-62.3851183,-59.7748947,11/12/08,317
penguin,-63.5191747,-56.8700409,11/28/08,333
penguin,-64.8333333,-62.55,11/27/08,332
penguin,-62.1860139,-58.8977051,12/29/08,364
penguin,-64.0607,-56.81044,1/20/09,20
penguin,-64.00319,-56.76287,1/20/09,20
penguin,-64.0607,-56.81044,1/20/09,20
penguin,-63.15828,-53.23552,1/19/09,19
penguin,-64.00319,-56.76287,1/20/09,20
penguin,-63.15828,-53.23552,1/19/09,19
penguin,-63.15828,-53.23552,1/19/09,19
penguin,-63.54526,-53.38445,1/20/09,20
penguin,-64.00319,-56.76287,1/20/09,20
penguin,-64.0607,-56.81044,1/20/09,20
penguin,-64.00319,-56.76287,1/20/09,20
penguin,-64.0607,-56.81044,1/20/09,20
penguin,-63.15828,-53.23552,1/19/09,19
penguin,-63.54526,-53.38445,1/20/09,20
penguin,-63.51722,-56.87012,1/21/09,21
penguin,-64.2990827,-56.7831116,1/20/09,20
penguin,-63.57381,-55.78613,1/20/09,20
penguin,-63.51722,-56.87012,1/21/09,21
penguin,-64.2990827,-56.7831116,1/20/09,20
penguin,-63.57381,-55.78613,1/20/09,20
penguin,-63.57381,-55.78613,1/20/09,20
penguin,-64.2990827,-56.7831116,1/20/09,20
penguin,-63.51722,-56.87012,1/21/09,21
penguin,-63.51722,-56.87012,1/21/09,21
penguin,-64.2990827,-56.7831116,1/20/09,20
penguin,-63.57381,-55.78613,1/20/09,20
penguin,-65.3747992,-63.1054832,11/15/09,320
penguin,-62.1860139,-58.8977051,12/30/09,365
penguin,-63.1642761,-56.6674805,12/24/09,359
penguin,-65.166886,-64.1381836,1/19/10,19
penguin,-63.52708,-56.76814,1/23/10,23
penguin,-63.76703,-57.22142,1/23/10,23
penguin,-63.76703,-57.22142,1/23/10,23
penguin,-63.52708,-56.76814,1/23/10,23
penguin,-64.2990827,-56.7831116,1/22/10,22
penguin,-64.56289,-62.48898,1/24/10,24
penguin,-64.774203,-64.0531629,1/25/10,25
penguin,-63.8600359,-56.7443848,1/20/10,20
penguin,-63.8600359,-56.7443848,1/20/10,20
penguin,-77.8459731,166.6386724,1/11/10,11
penguin,-64.56289,-62.48898,1/24/10,24
penguin,-64.774203,-64.0531629,1/25/10,25
penguin,-64.774203,-64.0531629,1/25/10,25
penguin,-63.76703,-57.22142,1/23/10,23
penguin,-63.52708,-56.76814,1/23/10,23
penguin,-64.56289,-62.48898,1/24/10,24
penguin,-63.57381,-55.78613,1/19/10,19
penguin,-62.5553888,-59.5321655,1/21/10,21
penguin,-63.653,-57.2196667,1/19/10,19
penguin,-63.7333333,-57.3619444,1/19/10,19
penguin,-62.2666667,-52.2666667,1/18/10,18
penguin,-63.8600359,-56.7443848,1/19/10,19
penguin,-62.2666667,-52.2666667,1/18/10,18
penguin,-63.653,-57.2196667,1/19/10,19
penguin,-62.5553888,-59.5321655,1/21/10,21
penguin,-63.7333333,-57.3619444,1/19/10,19
penguin,-62.5553888,-59.5321655,1/21/10,21
penguin,-63.653,-57.2196667,1/19/10,19
penguin,-63.7333333,-57.3619444,1/19/10,19
penguin,-62.2666667,-52.2666667,1/18/10,18
penguin,-62.0997058,-57.9261017,1/22/10,22
penguin,-62.0997058,-57.9261017,1/22/10,22
penguin,-63.57381,-55.78613,1/19/10,19
penguin,-63.5191747,-56.8700409,1/23/10,23
penguin,-63.5191747,-56.8700409,1/23/10,23
penguin,-64.2990827,-56.7831116,1/23/10,23
penguin,-63.395827,-57.0066833,1/20/10,20
penguin,-63.5191747,-56.8700409,1/23/10,23
penguin,-63.395827,-57.0066833,1/20/10,20
penguin,-63.57381,-55.78613,1/19/10,19
penguin,-63.57381,-55.78613,1/19/10,19
penguin,-63.395827,-57.0066833,1/20/10,20
penguin,-64.2990827,-56.7831116,1/23/10,23
penguin,-64.2990827,-56.7831116,1/23/10,23
penguin,-77.8459731,166.6386724,2/11/10,41
