COMMON NAME	LATITUDE	LONGITUDE	OBSERVATION DATE	SERIAL DATE	1=Blue-and-yellow // 2=Blue-headed // 3=
macaw	-13.0	-71.2	10/22/83	296	4
macaw	23.3	-106.0	12/26/83	361	7
macaw	25.7	-80.3	2/7/84	37	4
macaw	-13.1	-69.6	4/3/84	94	8
macaw	-13.1	-69.6	4/3/84	94	11
macaw	-13.1	-69.6	4/6/84	97	1
macaw	5.7	-67.6	4/24/84	115	11
macaw	8.0	-61.6	1/1/85	1	8
macaw	6.0	-61.4	1/3/85	3	8
macaw	6.0	-61.4	1/4/85	4	8
macaw	6.1	-61.4	1/5/85	5	8
macaw	6.0	-61.4	1/6/85	6	8
macaw	8.8	-70.6	1/16/85	16	11
macaw	5.7	-67.6	1/21/85	21	8
macaw	23.2	-106.2	2/2/85	32	7
macaw	23.2	-106.1	2/2/85	32	7
macaw	23.4	-105.9	2/4/85	34	7
macaw	23.4	-105.9	2/4/85	34	7
macaw	23.4	-105.9	2/5/85	35	7
macaw	23.4	-105.9	2/5/85	35	7
macaw	0.8	-66.2	2/20/85	50	8
macaw	8.5	-83.6	3/26/85	87	11
macaw	8.5	-83.6	3/27/85	88	11
macaw	8.5	-83.6	3/28/85	89	11
macaw	8.5	-83.6	3/29/85	90	11
macaw	10.4	-85.3	4/6/85	97	11
macaw	10.4	-85.3	4/7/85	98	11
macaw	-16.8	-64.8	4/15/85	106	1
macaw	-16.8	-64.8	4/15/85	106	4
macaw	-16.6	-64.7	4/16/85	107	4
macaw	-16.6	-64.7	4/17/85	108	1
macaw	-16.6	-64.7	4/17/85	108	4
macaw	-16.6	-64.7	4/17/85	108	8
macaw	-15.3	-64.9	4/18/85	109	8
macaw	-15.3	-64.9	4/19/85	110	1
macaw	-15.3	-64.9	4/19/85	110	4
macaw	-14.8	-64.9	4/20/85	111	1
macaw	-14.8	-64.9	4/20/85	111	4
macaw	-14.8	-64.9	4/21/85	112	4
macaw	-14.8	-64.9	4/21/85	112	10
macaw	-14.8	-64.9	4/21/85	112	12
macaw	-14.8	-64.9	4/22/85	113	1
macaw	25.7	-80.3	4/27/85	118	4
macaw	-12.8	-69.3	5/9/85	131	1
macaw	-12.8	-69.3	5/9/85	131	4
macaw	-12.8	-69.3	5/9/85	131	9
macaw	-12.8	-69.3	5/12/85	134	4
macaw	-12.8	-69.3	5/12/85	134	11
macaw	-15.6	-57.5	10/2/85	276	10
macaw	-15.6	-57.5	10/3/85	277	6
macaw	-15.6	-57.5	10/5/85	279	12
macaw	-15.5	-55.8	10/6/85	280	3
macaw	-16.5	-56.7	10/6/85	280	6
macaw	-16.5	-56.7	10/6/85	280	10
macaw	-15.5	-55.8	10/6/85	280	10
macaw	-15.5	-55.8	10/7/85	281	3
macaw	-15.5	-55.8	10/7/85	281	10
macaw	-15.5	-55.8	10/8/85	282	8
macaw	-15.5	-55.8	10/8/85	282	10
macaw	-15.5	-55.8	10/9/85	283	3
macaw	-15.5	-55.8	10/9/85	283	8
macaw	-15.5	-55.8	10/9/85	283	10
macaw	25.7	-80.3	11/16/85	321	4
macaw	25.7	-80.3	11/16/85	321	7
macaw	9.9	-84.1	1/1/86	1	11
macaw	16.8	-88.5	1/14/86	14	11
macaw	16.8	-88.5	1/30/86	30	11
macaw	16.8	-88.5	2/4/86	34	11
macaw	10.4	-61.0	2/5/86	35	9
macaw	19.1	-104.3	3/15/86	76	7
macaw	10.4	-85.3	3/20/86	81	11
macaw	10.4	-85.3	3/21/86	82	11
macaw	25.7	-80.2	3/23/86	84	1
macaw	8.7	-83.7	3/24/86	85	11
macaw	8.7	-83.7	3/25/86	86	11
macaw	28.7	-81.4	4/2/86	93	11
macaw	9.8	-84.6	4/24/86	115	11
macaw	25.7	-80.3	5/4/86	126	4
macaw	25.7	-80.3	5/12/86	134	1
macaw	25.7	-80.2	5/16/86	138	1
macaw	-12.8	-69.3	8/6/86	219	1
macaw	-12.8	-69.3	8/6/86	219	11
macaw	-12.8	-69.3	8/8/86	221	1
macaw	-16.8	-56.8	8/16/86	229	8
macaw	-16.8	-56.8	8/17/86	230	6
macaw	-16.8	-56.8	8/17/86	230	12
macaw	-15.5	-55.8	8/19/86	232	8
macaw	25.7	-80.2	9/20/86	264	1
macaw	9.8	-84.6	12/26/86	361	11
macaw	9.6	-84.6	12/27/86	362	11
macaw	9.8	-84.6	12/29/86	364	11
macaw	9.6	-84.6	12/30/86	365	11
macaw	9.8	-84.6	12/31/86	366	11
macaw	9.6	-84.6	1/10/87	10	11
macaw	9.8	-84.6	1/11/87	11	11
macaw	10.4	-84.0	1/27/87	27	5
macaw	21.5	-105.3	2/3/87	33	7
macaw	10.4	-61.0	2/15/87	45	9
macaw	-0.4	-76.6	2/18/87	48	4
macaw	-0.4	-76.6	2/18/87	48	9
macaw	-0.4	-76.8	2/19/87	49	9
macaw	23.4	-106.0	2/21/87	51	7
macaw	23.4	-105.9	2/23/87	53	7
macaw	23.3	-106.0	2/24/87	54	7
macaw	6.4	-65.0	3/1/87	62	4
macaw	8.9	-68.0	3/3/87	64	11
macaw	10.4	-67.5	3/8/87	69	4
macaw	10.4	-67.5	3/8/87	69	7
macaw	9.7	-84.6	3/24/87	85	11
macaw	25.7	-80.3	3/27/87	88	4
macaw	9.8	-84.6	4/13/87	104	11
macaw	25.7	-80.3	4/17/87	108	4
macaw	25.7	-80.3	4/30/87	121	4
macaw	-12.8	-69.3	5/6/87	128	1
macaw	-12.8	-69.3	5/6/87	128	8
macaw	-12.8	-69.3	5/8/87	130	1
macaw	-12.8	-69.3	5/9/87	131	1
macaw	-12.8	-69.3	5/10/87	132	8
macaw	9.3	-63.0	5/10/87	132	10
macaw	-12.8	-69.3	5/12/87	134	1
macaw	-12.8	-69.3	5/12/87	134	11
macaw	-12.8	-69.3	5/13/87	135	1
macaw	-12.8	-69.3	5/13/87	135	11
macaw	-12.8	-69.3	5/14/87	136	1
macaw	-12.8	-69.3	5/14/87	136	11
macaw	-12.8	-69.3	5/15/87	137	1
macaw	-12.8	-69.3	5/15/87	137	11
macaw	-12.8	-69.3	5/16/87	138	1
macaw	-12.8	-69.3	5/16/87	138	11
macaw	-12.8	-69.3	5/19/87	141	11
macaw	-12.8	-69.3	5/21/87	143	4
macaw	-12.8	-69.3	5/22/87	144	1
macaw	-12.8	-69.3	5/24/87	146	1
macaw	-12.8	-69.3	5/25/87	147	1
macaw	-12.8	-69.3	5/25/87	147	8
macaw	-12.8	-69.3	5/28/87	150	1
macaw	-12.8	-69.3	5/28/87	150	4
macaw	-12.8	-69.3	5/28/87	150	8
macaw	-12.8	-69.3	5/28/87	150	11
macaw	-12.8	-69.3	5/29/87	151	1
macaw	-12.8	-69.3	5/30/87	152	1
macaw	25.8	-80.2	5/30/87	152	1
macaw	-12.8	-69.3	5/31/87	153	1
macaw	-12.8	-69.3	6/1/87	153	1
macaw	-12.8	-69.3	6/3/87	155	1
macaw	-12.8	-69.3	6/4/87	156	1
