COMMON NAME,LATITUDE,LONGITUDE,OBSERVATION DATE,SERIAL DATE,1=Black Kite // 2=Lesser Nighthawk
kite,-13.3,131.1,6/25/98,177,1
kite,-13.8,131.8,6/25/98,177,1
kite,-14.6,132.2,6/26/98,178,1
kite,-13.8,131.8,6/26/98,178,1
kite,-15.6,130.5,6/26/98,178,1
kite,-13.8,131.8,6/25/98,177,1
kite,-15.0,131.8,6/26/98,178,1
kite,-14.5,132.3,6/26/98,178,1
kite,-15.6,130.5,6/27/98,179,1
kite,-15.5,129.1,6/29/98,181,1
kite,-15.6,130.5,6/27/98,179,1
kite,-15.6,130.5,6/28/98,180,1
kite,-15.6,130.5,7/2/98,185,1
kite,-14.5,132.3,7/3/98,186,1
kite,-15.3,131.6,7/3/98,186,1
kite,-12.4,130.9,8/16/98,229,1
kite,-12.3,130.9,8/30/98,243,1
kite,-12.4,130.9,8/30/98,243,1
kite,-12.6,131.1,8/22/98,235,1
kite,-17.4,130.8,9/10/98,254,1
kite,-16.7,135.7,9/12/98,256,1
kite,-15.1,131.7,9/3/98,247,1
kite,-16.5,136.0,9/13/98,257,1
kite,-16.3,136.1,9/13/98,257,1
kite,-12.4,130.8,9/2/98,246,1
kite,-12.4,130.9,9/18/98,262,1
kite,-15.6,130.4,9/3/98,247,1
kite,-12.6,131.3,9/17/98,261,1
kite,-14.5,132.3,9/15/98,259,1
kite,-14.6,132.2,9/15/98,259,1
kite,-12.6,131.3,9/26/98,270,1
kite,-12.4,130.9,9/26/98,270,1
kite,-12.7,131.3,9/26/98,270,1
kite,-12.6,131.3,9/26/98,270,1
kite,-12.4,130.8,9/19/98,263,1
kite,-12.6,131.1,10/18/98,292,1
kite,-14.9,133.1,10/24/98,298,1
kite,-12.3,130.9,10/6/98,280,1
kite,-12.4,130.9,10/6/98,280,1
kite,-12.5,130.8,10/11/98,285,1
kite,-12.4,130.9,10/11/98,285,1
kite,-12.4,130.9,11/21/98,326,1
kite,-12.6,131.3,4/12/99,103,1
kite,-12.6,130.9,4/10/99,101,1
kite,-12.6,131.3,4/12/99,103,1
kite,-12.5,130.9,4/10/99,101,1
kite,-12.4,130.9,5/8/99,130,1
kite,-12.4,130.8,5/2/99,124,1
kite,-12.4,130.9,5/22/99,144,1
kite,-12.4,130.9,6/2/99,154,1
kite,-12.6,131.3,6/20/99,172,1
kite,-12.4,130.9,6/20/99,172,1
kite,-12.4,130.9,6/14/99,166,1
kite,-12.7,131.3,6/20/99,172,1
kite,-12.4,130.9,7/20/99,203,1
kite,-12.4,130.9,8/29/99,242,1
kite,-13.0,131.1,8/28/99,241,1
kite,-12.6,131.3,9/11/99,255,1
kite,-12.6,131.3,9/11/99,255,1
kite,-12.8,131.0,10/5/99,279,1
kite,-12.4,130.8,10/4/99,278,1
kite,-12.6,131.3,10/5/99,279,1
kite,-12.4,130.9,10/31/99,305,1
kite,-13.5,132.5,10/2/99,276,1
kite,-13.4,132.4,10/2/99,276,1
kite,-12.4,130.9,10/31/99,305,1
kite,-12.4,130.9,11/14/99,319,1
kite,-12.4,130.9,11/22/99,327,1
kite,-12.6,131.3,11/13/99,318,1
kite,-12.6,131.3,11/13/99,318,1
kite,-12.4,130.9,12/18/99,353,1
kite,-12.7,131.3,12/4/99,339,1
kite,-12.4,130.9,12/18/99,353,1
kite,-24.7,133.2,3/24/00,85,1
kite,-12.4,130.9,3/19/00,80,1
kite,-12.4,130.9,3/19/00,80,1
kite,-12.4,130.9,3/26/00,87,1
kite,-23.7,133.9,4/2/00,93,1
kite,-12.4,130.9,4/24/00,115,1
kite,-23.7,133.8,5/7/00,129,1
kite,-12.4,130.9,5/28/00,150,1
kite,-12.4,130.9,7/19/00,202,1
kite,-12.6,131.3,10/27/00,301,1
kite,-12.6,131.3,1/21/01,21,1
kite,-12.6,131.1,1/21/01,21,1
kite,-12.6,131.3,1/21/01,21,1
kite,-12.6,131.3,3/10/01,71,1
kite,-12.6,131.4,4/1/01,92,1
kite,-12.6,131.3,4/1/01,92,1
kite,-25.4,131.0,4/17/01,108,1
kite,-13.2,130.7,6/30/01,182,1
kite,-12.7,132.5,7/4/01,187,1
kite,-12.4,133.0,7/5/01,188,1
kite,-12.4,133.0,7/5/01,188,1
kite,-23.7,133.9,8/27/01,240,1
kite,-25.2,132.1,8/26/01,239,1
kite,-22.5,133.4,8/23/01,236,1
kite,-21.5,133.9,8/23/01,236,1
kite,-20.8,134.2,8/23/01,236,1
kite,-20.2,134.2,8/23/01,236,1
kite,-23.7,133.9,8/24/01,237,1
kite,-20.1,136.8,8/22/01,235,1
kite,-12.8,132.6,8/11/01,224,1
kite,-12.8,132.6,8/10/01,223,1
kite,-12.5,130.8,8/8/01,221,1
kite,-19.6,134.2,12/16/01,351,1
kite,-19.6,134.2,12/16/01,351,1
kite,-12.4,130.9,5/11/02,133,1
kite,-12.4,130.9,5/12/02,134,1
kite,-12.4,130.8,5/17/02,139,1
kite,-12.3,130.9,5/17/02,139,1
kite,-14.1,132.0,5/20/02,142,1
kite,-12.4,130.8,5/18/02,140,1
kite,-13.0,131.0,5/15/02,137,1
kite,-22.9,134.4,7/13/02,196,1
kite,-22.9,134.4,7/13/02,196,1
kite,-23.8,133.8,11/18/02,323,1
kite,-23.7,133.9,11/15/02,320,1
kite,-13.8,131.8,4/8/03,99,1
kite,-14.5,132.3,4/7/03,98,1
kite,-14.5,132.2,4/7/03,98,1
kite,-12.5,130.8,7/29/03,212,1
kite,-12.4,130.8,7/30/03,213,1
kite,-12.4,130.9,7/31/03,214,1
kite,-13.8,131.8,7/4/03,187,1
kite,-12.5,130.9,9/21/03,265,1
kite,-12.7,131.3,10/20/03,294,1
kite,-12.3,130.9,10/25/03,299,1
kite,-12.7,132.8,10/22/03,296,1
kite,-12.4,130.8,10/24/03,298,1
kite,-23.7,133.9,7/12/04,195,1
kite,-23.7,133.9,7/15/04,198,1
kite,-15.2,129.1,7/31/04,214,1
kite,-22.9,134.4,7/9/04,192,1
kite,-12.4,130.9,10/30/04,304,1
kite,-12.4,130.9,10/31/04,305,1
kite,-12.3,130.9,10/30/04,304,1
kite,-12.9,132.8,7/9/05,192,1
kite,-14.6,132.2,9/15/05,259,1
kite,-12.4,130.9,9/9/05,253,1
kite,-15.7,130.5,9/16/05,260,1
kite,-12.3,130.9,10/20/05,294,1
kite,-12.6,131.3,10/21/05,295,1
kite,-12.6,131.3,3/30/06,91,1
kite,-12.7,132.5,3/27/06,88,1
kite,-25.3,130.9,6/11/06,163,1
kite,-22.9,134.4,7/15/06,198,1
kite,-22.9,134.4,7/15/06,198,1
kite,-12.9,132.5,7/30/06,213,1
kite,-23.7,133.9,9/28/06,272,1
kite,-23.7,133.9,9/26/06,270,1
kite,-25.2,132.7,11/17/06,322,1
kite,-23.7,133.9,11/16/06,321,1
kite,-23.7,133.9,11/15/06,320,1
kite,-25.2,133.2,11/20/06,325,1
kite,-13.7,130.7,6/11/07,163,1
kite,-13.7,130.7,6/11/07,163,1
kite,-13.8,131.8,7/28/07,211,1
kite,-23.7,133.9,8/11/07,224,1
kite,-23.5,133.6,8/15/07,228,1
kite,-12.7,132.6,9/21/07,265,1
kite,-12.6,131.3,9/11/07,255,1
kite,-12.9,132.5,9/12/07,256,1
kite,-12.7,132.6,9/21/07,265,1
kite,-12.9,131.6,10/7/07,281,1
kite,-12.9,131.6,10/7/07,281,1
kite,-23.7,133.9,10/14/07,288,1
kite,-23.7,133.9,10/17/07,291,1
kite,-23.7,133.9,10/16/07,290,1
kite,-12.6,131.3,10/20/07,294,1
kite,-12.3,130.9,10/18/07,292,1
kite,-12.9,131.1,10/19/07,293,1
kite,-12.6,131.4,10/20/07,294,1
kite,-25.3,130.7,2/5/08,35,1
kite,-23.7,133.9,4/24/08,115,1
kite,-12.9,132.5,5/18/08,140,1
kite,-12.9,132.5,5/19/08,141,1
kite,-12.5,131.0,5/11/08,133,1
kite,-12.8,132.6,6/6/08,158,1
kite,-12.4,131.0,6/5/08,157,1
kite,-15.3,135.5,7/2/08,185,1
kite,-13.3,132.4,7/7/08,190,1
kite,-11.5,132.7,8/10/08,223,1
kite,-13.2,130.7,8/31/08,244,1
kite,-12.4,130.9,10/9/08,283,1
kite,-12.5,130.9,11/9/08,314,1
kite,-12.5,130.9,11/9/08,314,1
kite,-12.6,131.3,11/1/08,306,1
kite,-23.7,133.8,4/25/09,116,1
kite,-12.9,131.6,4/13/09,104,1
kite,-12.9,131.6,4/13/09,104,1
kite,-12.7,131.5,4/13/09,104,1
kite,-23.7,133.9,4/18/09,109,1
kite,-23.7,133.9,4/20/09,111,1
kite,-12.4,130.9,5/1/09,123,1
kite,-12.7,132.5,5/16/09,138,1
kite,-12.7,132.8,5/16/09,138,1
kite,-12.7,132.6,5/18/09,140,1
kite,-12.7,132.5,5/16/09,138,1
kite,-12.7,132.6,5/18/09,140,1
kite,-12.7,132.8,5/16/09,138,1
kite,-23.7,133.9,5/27/09,149,1
kite,-13.2,131.1,7/13/09,196,1
kite,-13.2,131.1,7/25/09,208,1
kite,-18.3,133.8,7/25/09,208,1
kite,-18.3,133.8,7/13/09,196,1
kite,-19.3,134.2,7/25/09,208,1
kite,-23.7,133.9,7/24/09,207,1
kite,-14.4,132.2,7/25/09,208,1
kite,-13.2,131.1,7/25/09,208,1
kite,-18.3,133.8,7/25/09,208,1
kite,-19.3,134.2,7/25/09,208,1
kite,-17.6,133.5,7/25/09,208,1
kite,-23.2,133.7,7/23/09,206,1
kite,-14.4,132.2,7/13/09,196,1
kite,-19.7,134.2,7/13/09,196,1
kite,-13.2,131.1,7/13/09,196,1
kite,-18.3,133.8,7/13/09,196,1
kite,-23.7,133.9,7/24/09,207,1
kite,-14.4,132.2,7/25/09,208,1
kite,-12.3,130.9,7/29/09,212,1
kite,-23.7,133.9,8/6/09,219,1
kite,-23.7,133.9,8/6/09,219,1
kite,-16.7,135.7,8/27/09,240,1
kite,-18.7,136.0,8/28/09,241,1
kite,-19.3,136.1,8/28/09,241,1
kite,-23.7,133.9,8/6/09,219,1
kite,-23.7,133.9,8/6/09,219,1
kite,-14.4,132.2,8/26/09,239,1
kite,-16.7,135.7,8/27/09,240,1
kite,-16.7,135.7,8/28/09,241,1
kite,-16.7,135.7,8/27/09,240,1
kite,-18.7,136.0,8/28/09,241,1
kite,-19.3,136.1,8/28/09,241,1
kite,-12.4,130.9,8/2/09,215,1
kite,-12.4,130.8,9/11/09,255,1
kite,-12.6,131.3,9/19/09,263,1
kite,-12.9,131.6,9/20/09,264,1
kite,-12.5,130.8,9/18/09,262,1
kite,-12.6,131.3,9/18/09,262,1
kite,-14.4,132.1,9/24/09,268,1
kite,-15.6,131.1,9/25/09,269,1
kite,-14.2,132.1,9/26/09,270,1
kite,-13.8,131.8,9/27/09,271,1
kite,-12.4,130.8,9/12/09,256,1
kite,-12.4,130.9,9/10/09,254,1
kite,-22.6,133.3,1/3/10,3,1
kite,-23.5,133.6,1/3/10,3,1
kite,-22.6,133.3,1/3/10,3,1
kite,-23.6,132.7,1/4/10,4,1
kite,-25.4,131.0,1/5/10,5,1
kite,-23.6,132.7,1/4/10,4,1
kite,-25.4,131.0,1/5/10,5,1
kite,-23.5,133.6,1/3/10,3,1
kite,-23.7,133.9,3/5/10,66,1
kite,-23.5,133.6,4/25/10,116,1
kite,-23.7,133.9,4/24/10,115,1
kite,-12.5,130.9,5/27/10,149,1
kite,-23.7,133.9,5/1/10,123,1
kite,-12.9,131.7,5/9/10,131,1
kite,-23.7,133.8,5/1/10,123,1
kite,-12.5,130.9,6/14/10,166,1
kite,-12.4,130.9,6/26/10,178,1
kite,-15.1,134.0,7/24/10,207,1
kite,-15.2,133.9,7/24/10,207,1
kite,-12.3,130.9,7/19/10,202,1
kite,-14.9,133.1,7/20/10,203,1
kite,-23.5,133.6,7/13/10,196,1
kite,-22.9,134.4,7/18/10,201,1
kite,-14.9,133.1,7/24/10,207,1
kite,-14.9,133.1,7/24/10,207,1
kite,-11.2,132.5,8/16/10,229,1
kite,-11.2,132.5,8/16/10,229,1
kite,-12.6,131.3,9/25/10,269,1
kite,-12.6,131.3,9/25/10,269,1
kite,-12.6,131.3,9/24/10,268,1
kite,-12.3,130.9,9/24/10,268,1
kite,-12.3,130.9,9/24/10,268,1
kite,-12.6,131.3,9/24/10,268,1
kite,-12.4,130.9,9/24/10,268,1
kite,-12.4,130.9,9/24/10,268,1
kite,-14.5,132.2,9/30/10,274,1
kite,-14.5,132.2,9/30/10,274,1
kite,-16.1,133.4,9/21/10,265,1
kite,-16.7,135.9,9/16/10,260,1
kite,-16.6,135.9,9/17/10,261,1
kite,-18.6,135.9,9/22/10,266,1
kite,-19.4,135.4,9/22/10,266,1
kite,-18.6,135.9,9/23/10,267,1
kite,-12.4,130.9,9/23/10,267,1
kite,-12.5,131.1,9/23/10,267,1
kite,-12.3,130.9,9/23/10,267,1
kite,-12.4,130.9,9/23/10,267,1
kite,-12.5,131.1,9/23/10,267,1
kite,-12.3,130.9,9/23/10,267,1
kite,-12.8,132.6,9/27/10,271,1
kite,-13.8,131.8,9/28/10,272,1
kite,-12.8,132.6,9/27/10,271,1
kite,-14.7,132.6,10/1/10,275,1
kite,-14.5,132.3,10/2/10,276,1
kite,-14.7,132.6,10/1/10,275,1
kite,-14.9,133.1,10/5/10,279,1
kite,-25.2,132.1,3/10/11,71,1
kite,-23.5,133.6,3/9/11,70,1
kite,-24.0,134.1,3/9/11,70,1
kite,-23.7,133.8,3/8/11,69,1
kite,-23.7,133.8,3/8/11,69,1
kite,-24.0,134.1,3/9/11,70,1
kite,-25.2,132.1,3/10/11,71,1
kite,-23.5,133.6,3/9/11,70,1
kite,-23.6,132.7,4/15/11,106,1
kite,-23.7,133.8,4/14/11,105,1
kite,-12.4,130.8,6/26/11,178,1
kite,-23.7,133.9,7/6/11,189,1
kite,-23.2,133.8,7/3/11,186,1
kite,-23.7,133.9,7/2/11,185,1
kite,-24.4,133.4,7/1/11,184,1
kite,-14.3,132.6,7/1/11,184,1
kite,-12.4,130.8,7/4/11,187,1
kite,-23.7,133.8,7/7/11,190,1
kite,-23.7,133.8,7/5/11,188,1
kite,-23.7,133.9,7/10/11,193,1
kite,-12.7,131.3,8/17/11,230,1
kite,-12.3,130.9,8/22/11,235,1
kite,-12.4,130.9,9/14/11,258,1
kite,-12.3,130.9,9/15/11,259,1
kite,-12.6,131.3,9/16/11,260,1
kite,-14.9,133.1,9/17/11,261,1
kite,-17.6,133.5,9/16/11,260,1
kite,-17.6,133.5,9/16/11,260,1
kite,-14.9,133.1,9/17/11,261,1
kite,-12.8,132.6,10/29/11,303,1
kite,-14.5,132.3,10/28/11,302,1
